0	1165.98079561043
37.5	1165.98079561043
75	1165.98079561043
112.5	1165.98079561043
150	1165.98079561043
187.5	1165.98079561043
225	1165.98079561043
262.5	1165.98079561043
300	1165.98079561043
337.5	1165.98079561043
375	1165.98079561043
412.5	1165.98079561043
450	1165.98079561043
487.5	1165.98079561043
525	1165.98079561043
562.5	1165.98079561043
600	1165.98079561043
637.5	1165.98079561043
675	1165.98079561043
712.5	1165.98079561043
750	1165.98079561043
787.5	1165.98079561043
825	1165.98079561043
862.5	1165.98079561043
900	1165.98079561043
937.5	1165.98079561043
975	1165.98079561043
1012.5	1165.98079561043
1050	1165.98079561043
1087.5	1165.98079561043
1125	1165.98079561043
1162.5	1165.98079561043
1200	1165.98079561043
1237.5	1165.98079561043
1275	1165.98079561043
1312.5	1165.98079561043
1350	1165.98079561043
1387.5	1165.98079561043
1425	1165.98079561043
1462.5	1165.98079561043
1500	1165.98079561043
